words
unemploymen
underemployment
job
recession
inflation
econom
national debt
debt ceiling
government
fiscal cliff
deficit
spending cuts
gas prices
energy prices
barrel oil
subprime
housing crisis
housing bubble
credit crisis
refinance
consumer debt
healthcare law
health care law
medicaid
medicare
health insurance costs
Corporate welfare
bank bailout 
Stock market
Stock Exchange
investment bank
tax rate
tax cut
tax reform
tax code
flat tax
Tax Rate
raising taxes
Welfare 
entitlement
safety net
food stamps
The rich
Inequity
Iraq
Afghanistan war
Taliban
drone strikes
drone attacks
drone strike
drone attack
Iraq war
Insurgent
jihad
islamist
ISIS
terrorist attack
homeland security
Al Qaeda
military defense
national security
Pentagon
CIA
Intelligence community
Middle East
Arab Spring
Muslim
Pakistan
Syria
Yemen 
Israel 
Palastine  Hamas
Trade
Currency manipulation
investment
Immigra
Hispanic
Mexican
Mexico border
Deportation
Latino
partisan
polarization
political
lobbyists
lobbyist
campaign
education
teachers union
Charter schools
school choice
school vouchers
Failing school
No Child Left Behind
FEMA
Hurricane
natural disaster
oil spill
flood
drought
crime
Prison
Law
Death penalty
Heroin
Cocaine    
Methamphetamine
Marihuana
Drug
Alcoholism
Intoxication
DUI
DWI
control
violence
amendment
Firearm
Handgun
NRA
Racism
Racial
African American
Affirmative action
Segregation
Sexism
Sexist  
Feminis
Sexual harassment
LGBT
Gay
abortion
prolife
pro-life
prochoice
pro-choice
Roe Wade
Birth control
Contraception
Morning after pill
environment green
Pollution
Natural resources
Wildlife
Recycling
Recycle
Clean water
development
global warming
climate change
greenhouse
sea levels
trump
president
Biden
obama
covid
coronavirus
CDC
pandemic
blacklives
black lives
make america great
MAGA
george floyd
senate
vote
senator
healthcare
health care
GOP
Rep
candidate
capitol
community
congress
politic
polic
stock
democrat
republican
public
nation
state
county
gender
women
equal
rights
china
chinese
rassia
xi
